Date,Synthetic Price
2024-01-01,100.0
2024-01-02,101.05162824211018
2024-01-03,101.87224979193101
2024-01-04,102.22238516582193
2024-01-05,101.37197053451966
2024-01-06,101.7295702426813
2024-01-07,102.35416754604897
2024-01-08,102.92050836917987
2024-01-09,104.77081176935944
2024-01-10,106.99510763859115
2024-01-11,107.92734860201686
2024-01-12,108.79760881976036
2024-01-13,108.99829632877308
2024-01-14,108.6469895494353
2024-01-15,107.1569773910571
2024-01-16,107.30659689509612
2024-01-17,108.47552246487413
2024-01-18,108.24890150716303
2024-01-19,109.53792809413486
2024-01-20,109.25137290368627
2024-01-21,110.20626060496373
2024-01-22,109.84279352700399
2024-01-23,110.17184628209273
2024-01-24,112.50662020937358
2024-01-25,113.30787941687093
2024-01-26,113.01311604566574
2024-01-27,112.38312843271066
2024-01-28,112.19801828163685
2024-01-29,112.34825182721724
2024-01-30,114.96515054846718
2024-01-31,113.66119809518591
2024-02-01,114.45454830445846
2024-02-02,114.32304473527921
2024-02-03,113.64462525358753
2024-02-04,112.30080391561576
2024-02-05,112.87204202917181
2024-02-06,113.03805390930195
2024-02-07,114.08814826135307
2024-02-08,115.08595184374293
2024-02-09,113.8800686214948
2024-02-10,114.54902089674314
2024-02-11,115.36395706079504
2024-02-12,114.54251217980824
2024-02-13,115.39882174689836
2024-02-14,116.50566683764876
2024-02-15,115.69937105386695
2024-02-16,115.2270894288974
2024-02-17,116.01132905218026
2024-02-18,114.88374191853818
2024-02-19,114.2357101682042
2024-02-20,113.01782687355968
2024-02-21,112.20419869592361
2024-02-22,111.66546435803278
2024-02-23,111.75815542052852
2024-02-24,113.60995725810638
2024-02-25,115.1078543880397
2024-02-26,114.72270388042048
2024-02-27,116.07044071940173
2024-02-28,115.3092508886759
2024-02-29,117.22195403972327
2024-03-01,118.96924624636047
2024-03-02,119.2964113652851
2024-03-03,117.55007075644913
2024-03-04,118.21158584925342
2024-03-05,118.19854121417438
2024-03-06,117.50181492335736
2024-03-07,116.1472786894699
2024-03-08,116.13848291789914
2024-03-09,114.69557761475347
2024-03-10,113.87472979867026
2024-03-11,114.93571124522711
2024-03-12,112.27975291712231
2024-03-13,111.57807836569305
2024-03-14,111.60988305918822
2024-03-15,109.96713975699332
2024-03-16,109.51715660589156
2024-03-17,107.54733029529923
2024-03-18,108.07293572654471
2024-03-19,107.68701452925282
2024-03-20,107.88937962231196
2024-03-21,107.57246208093639
2024-03-22,109.6329405102722
2024-03-23,110.98883202541063
2024-03-24,111.39632165732311
2024-03-25,113.24902498250778
2024-03-26,114.78740470021204
2024-03-27,116.45891109616429
2024-03-28,114.8081472806638
2024-03-29,115.50840454358426
2024-03-30,116.96875089274515
2024-03-31,114.71214827974431
2024-04-01,115.19905760593721
2024-04-02,115.99378715212228
2024-04-03,116.45144645588596
2024-04-04,115.29016949294743
2024-04-05,115.02072591296961
2024-04-06,115.15432473830066
2024-04-07,117.25720106161825
2024-04-08,117.90974207920489
2024-04-09,117.45927700576289
2024-04-10,118.07780796744996
2024-04-11,118.08190694853062
2024-04-12,117.54820408288067
2024-04-13,119.38629824988793
2024-04-14,119.28858404417882
2024-04-15,120.15350909996094
2024-04-16,120.38257864952585
2024-04-17,121.10154742354305
2024-04-18,121.28777429149383
2024-04-19,120.05147633745347
2024-04-20,119.46954345367446
2024-04-21,120.34804061111966
2024-04-22,121.0225396677669
2024-04-23,122.53666769727498
2024-04-24,123.13065480072127
2024-04-25,121.89879101218656
2024-04-26,119.8372033752895
2024-04-27,118.1776695948475
2024-04-28,118.2046548539716
2024-04-29,118.50904598353193
2024-04-30,118.00833683764664
2024-05-01,119.64297178503828
2024-05-02,121.44394310064693
2024-05-03,118.29721252783878
2024-05-04,118.11401120674223
2024-05-05,117.39850122768057
2024-05-06,119.04750462110509
2024-05-07,119.01970883306214
2024-05-08,120.72347660953479
2024-05-09,121.56267490147667
2024-05-10,120.47176843189148
2024-05-11,121.6625687402781
2024-05-12,121.1543769331919
2024-05-13,120.75739884799845
2024-05-14,121.25510945924414
2024-05-15,120.91688318745187
2024-05-16,120.76679235082065
2024-05-17,120.29558446058623
2024-05-18,121.76739242567307
2024-05-19,121.3833597703437
2024-05-20,121.14948652045561
2024-05-21,121.0726145134619
2024-05-22,123.09606183310406
2024-05-23,124.11707845808506
2024-05-24,123.2165477980373
2024-05-25,123.11505521086114
2024-05-26,121.06632209210227
2024-05-27,120.39536776989887
2024-05-28,117.98046332448439
2024-05-29,119.40187856823914
2024-05-30,116.92514903605641
2024-05-31,117.81911573612139
2024-06-01,117.39234075770632
2024-06-02,119.00419391520958
2024-06-03,118.62898359486141
2024-06-04,118.93520099728087
2024-06-05,118.98841333842338
2024-06-06,117.8838396411484
2024-06-07,118.13370441157005
2024-06-08,116.45846310243078
2024-06-09,117.49902135073359
2024-06-10,117.67976522076601
2024-06-11,117.08406214478522
2024-06-12,117.33541784950256
2024-06-13,120.30847995216004
2024-06-14,119.80059935074524
2024-06-15,119.66217767287924
2024-06-16,120.33165660069155
2024-06-17,119.52193566654854
2024-06-18,121.45412119312645
2024-06-19,122.02720756110065
2024-06-20,121.14626402178797
2024-06-21,122.65062444626211
2024-06-22,124.32688081665962
2024-06-23,125.18186123588157
2024-06-24,126.21033826314483
2024-06-25,126.06647213339095
2024-06-26,125.42361683985631
2024-06-27,125.23359555685357
2024-06-28,125.43907025674086
2024-06-29,127.85386062589694
2024-06-30,124.97219576325736
2024-07-01,123.35058826255356
2024-07-02,124.83586587052444
2024-07-03,124.80738740964041
2024-07-04,126.28257822668014
2024-07-05,125.80672422659134
2024-07-06,125.97869428674271
2024-07-07,125.87030447530381
