Date,Open,High,Low,Close,Volume,MA_10,MA_50
1995-01-02,100.0,100.0,100.0,100.99342830602247,710911,,
1995-01-03,100.99342830602247,100.99342830602247,100.0,100.71415259027017,1656828,,
1995-01-04,100.71415259027017,100.99342830602247,100.71415259027017,102.01878063541501,1373673,,
1995-01-05,102.01878063541501,102.01878063541501,100.71415259027017,105.12633361185657,398964,,
1995-01-06,105.12633361185657,105.12633361185657,102.01878063541501,104.63401989610642,1364509,,
1995-01-09,104.63401989610642,105.12633361185657,104.63401989610642,104.14404607586974,1468309,,
1995-01-10,104.14404607586974,104.63401989610642,104.14404607586974,107.43335832030586,821167,,
1995-01-11,107.43335832030586,107.43335832030586,104.14404607586974,109.08232012519647,1429134,,
1995-01-12,109.08232012519647,109.08232012519647,107.43335832030586,108.05809302005375,1538098,,
1995-01-13,108.05809302005375,109.08232012519647,108.05809302005375,109.23065309322926,124220,105.14351856743258,
1995-01-16,109.23065309322926,109.23065309322926,108.05809302005375,108.21826474841201,684819,105.86600221167153,
1995-01-17,108.21826474841201,109.23065309322926,108.21826474841201,107.21025543295045,1520722,106.51561249593956,
1995-01-18,107.21025543295045,108.21826474841201,107.21025543295045,107.72907217174507,607409,107.08664164957256,
1995-01-19,107.72907217174507,107.72907217174507,107.21025543295045,103.60675406051479,797785,106.93468369443838,
1995-01-20,103.60675406051479,107.72907217174507,103.60675406051479,100.03249130755931,109387,106.47453083558366,
1995-01-23,100.03249130755931,103.60675406051479,100.03249130755931,98.90755085993638,345752,105.95088131399034,
1995-01-24,98.90755085993638,100.03249130755931,98.90755085993638,96.90401794899631,701103,104.89794727685937,
1995-01-25,96.90401794899631,98.90755085993638,96.90401794899631,97.51305453216105,651872,103.74102071755583,
1995-01-26,97.51305453216105,97.51305453216105,96.90401794899631,95.74217050830475,669071,102.50942846638092,
1995-01-27,95.74217050830475,97.51305453216105,95.74217050830475,93.03783007264968,1843745,100.89014616432299,
1995-01-30,93.03783007264968,95.74217050830475,93.03783007264968,95.76504569483193,809687,99.64482425896497,
1995-01-31,95.76504569483193,95.76504569483193,93.03783007264968,95.33261614017387,748782,98.45706032968732,
1995-02-01,95.33261614017387,95.76504569483193,95.33261614017387,95.46136894849685,1788678,97.23029000736248,
1995-02-02,95.46136894849685,95.46136894849685,95.33261614017387,92.74120070324037,350139,96.14373467163506,
1995-02-03,92.74120070324037,95.46136894849685,92.74120070324037,91.73146655294903,600228,95.31363219617403,
1995-02-06,91.73146655294903,92.74120070324037,91.73146655294903,91.93496838950776,1814793,94.61637394913116,
1995-02-07,91.93496838950776,91.93496838950776,91.73146655294903,89.81863722637084,1846197,93.90783587686862,
1995-02-08,89.81863722637084,91.93496838950776,89.81863722637084,90.49353090669996,960020,93.2058835143225,
1995-02-09,90.49353090669996,90.49353090669996,89.81863722637084,89.40645258970142,1034499,92.57231172246216,
1995-02-10,89.40645258970142,90.49353090669996,89.40645258970142,88.88486652146932,1395085,92.15701536734414,
1995-02-13,88.88486652146932,89.40645258970142,88.88486652146932,87.81521428320741,113580,91.36203222618168,
1995-02-14,87.81521428320741,88.88486652146932,87.81521428320741,91.06837839690266,1691104,90.93560845185456,
1995-02-15,91.06837839690266,91.06837839690266,87.81521428320741,91.04379498950782,878639,90.49385105595566,
1995-02-16,91.04379498950782,91.06837839690266,91.04379498950782,89.11783465002736,1494166,90.13151445063436,
1995-02-17,89.11783465002736,91.04379498950782,89.11783465002736,90.58390307940802,568968,90.01675810328025,
1995-02-20,90.58390307940802,90.58390307940802,89.11783465002736,88.3721274221263,990965,89.6604740065421,
1995-02-21,88.3721274221263,90.58390307940802,88.3721274221263,88.74128182675838,878559,89.55273846658085,
1995-02-22,88.74128182675838,88.74128182675838,88.3721274221263,85.26320905174451,1632239,89.02970628108531,
1995-02-23,85.26320905174451,88.74128182675838,85.26320905174451,82.99830095680775,528082,88.38889111779596,
1995-02-24,82.99830095680775,85.26320905174451,82.99830095680775,83.32508391883566,705262,87.83291285753259,
1995-02-27,83.32508391883566,83.32508391883566,82.99830095680775,84.55573971382313,1746265,87.50696540059417,
1995-02-28,84.55573971382313,84.55573971382313,83.32508391883566,84.8455431494132,313165,86.88468187584522,
1995-03-01,84.8455431494132,84.8455431494132,84.55573971382313,84.64929832274267,505427,86.24523220916869,
1995-03-02,84.64929832274267,84.8455431494132,84.64929832274267,84.1395339916623,552201,85.7474021433322,
1995-03-03,84.1395339916623,84.64929832274267,84.1395339916623,81.6514909663435,1312916,84.85416093202574,
1995-03-06,81.6514909663435,84.1395339916623,81.6514909663435,80.4759639087652,1938654,84.06454458068963,
1995-03-07,80.4759639087652,81.6514909663435,80.4759639087652,79.73455692663043,810731,83.16387209067683,
1995-03-08,79.73455692663043,80.4759639087652,79.73455692663043,81.42034037312762,1920987,82.77958522281514,
1995-03-09,81.42034037312762,81.42034037312762,79.73455692663043,81.97989073502953,404960,82.67774420063732,
1995-03-10,81.97989073502953,81.97989073502953,81.42034037312762,79.0892139490674,1238036,82.2541572036605,93.65555003205856
1995-03-13,79.0892139490674,81.97989073502953,79.0892139490674,79.60184487692595,1454832,81.75876771997078,93.22771836347661
1995-03-14,79.60184487692595,79.60184487692595,79.0892139490674,78.9887796779149,1199624,81.17309137282095,92.79321090522951
1995-03-15,78.9887796779149,79.60184487692595,78.9887796779149,77.9193948230889,1879382,80.50010102285557,92.31122318898298
1995-03-16,77.9193948230889,78.9887796779149,77.9193948230889,78.87262374817116,1281426,79.97340999850645,91.78614899170928
1995-03-17,78.87262374817116,78.87262374817116,77.9193948230889,80.4989764966185,1980760,79.85815855153396,91.30344812371953
